state_Name,state,1972,1976,1980,1984,1988,1992,1996,2000,2004,2008,2012,2016,R/D No change 2012 vs. 2016
 Alabama,AL,R,D,R,R,R,R,R,R,R,R,R,R,TRUE
 Alaska,AK,R,R,R,R,R,R,R,R,R,R,R,R,TRUE
 Arizona,AZ,R,R,R,R,R,R,D,R,R,R,R,R,TRUE
 Arkansas,AR,R,D,R,R,R,D,D,R,R,R,R,R,TRUE
 California,CA,R,R,R,R,R,D,D,D,D,D,D,D,TRUE
 Colorado,CO,R,R,R,R,R,D,R,R,R,D,D,D,TRUE
 Connecticut,CT,R,R,R,R,R,D,D,D,D,D,D,D,TRUE
 Delaware,DE,R,D,R,R,R,D,D,D,D,D,D,D,TRUE
 District of Columbia,DC,D,D,D,D,D,D,D,D,D,D,D,D,TRUE
 Florida,FL,R,D,R,R,R,R,D,R,R,D,D,R,FALSE
 Georgia,GA,R,D,D,R,R,D,R,R,R,R,R,R,TRUE
 Hawaii,HI,R,D,D,R,D,D,D,D,D,D,D,D,TRUE
 Idaho,ID,R,R,R,R,R,R,R,R,R,R,R,R,TRUE
 Illinois,IL,R,R,R,R,R,D,D,D,D,D,D,D,TRUE
 Indiana,IN,R,R,R,R,R,R,R,R,R,D,R,R,TRUE
 Iowa,IA,R,R,R,R,D,D,D,D,R,D,D,R,FALSE
 Kansas,KS,R,R,R,R,R,R,R,R,R,R,R,R,TRUE
 Kentucky,KY,R,D,R,R,R,D,D,R,R,R,R,R,TRUE
 Louisiana,LA,R,D,R,R,R,D,D,R,R,R,R,R,TRUE
 Maine,ME,R,R,R,R,R,D,D,D,D,D,D,D,TRUE
 Maryland,MD,R,D,D,R,R,D,D,D,D,D,D,D,TRUE
 Massachusetts,MA,D,D,R,R,D,D,D,D,D,D,D,D,TRUE
 Michigan,MI,R,R,R,R,R,D,D,D,D,D,D,R,FALSE
 Minnesota,MN,R,D,D,D,D,D,D,D,D,D,D,D,TRUE
 Mississippi,MS,R,D,R,R,R,R,R,R,R,R,R,R,TRUE
 Missouri,MO,R,D,R,R,R,D,D,R,R,R,R,R,TRUE
 Montana,MT,R,R,R,R,R,D,R,R,R,R,R,R,TRUE
 Nebraska,NE,R,R,R,R,R,R,R,R,R,D,R,D,FALSE
 Nevada,NV,R,R,R,R,R,D,D,R,R,D,D,D,TRUE
 New Hampshire,NH,R,R,R,R,R,D,D,R,D,D,D,D,TRUE
 New Jersey,NJ,R,R,R,R,R,D,D,D,D,D,D,D,TRUE
 New Mexico,NM,R,R,R,R,R,D,D,D,R,D,D,D,TRUE
 New York,NY,R,D,R,R,D,D,D,D,D,D,D,D,TRUE
 North Carolina,NC,R,D,R,R,R,R,R,R,R,D,R,R,TRUE
  North Dakota,ND,R,R,R,R,R,R,R,R,R,R,R,R,TRUE
 Ohio,OH,R,D,R,R,R,D,D,R,R,D,D,R,FALSE
 Oklahoma,OK,R,R,R,R,R,R,R,R,R,R,R,R,TRUE
 Oregon,OR,R,R,R,R,D,D,D,D,D,D,D,D,TRUE
 Pennsylvania,PA,R,D,R,R,R,D,D,D,D,D,D,R,FALSE
 Rhode Island,RI,R,D,D,R,D,D,D,D,D,D,D,D,TRUE
 South Carolina,SC,R,D,R,R,R,R,R,R,R,R,R,R,TRUE
 South Dakota,SD,R,R,R,R,R,R,R,R,R,R,R,R,TRUE
 Tennessee,TN,R,D,R,R,R,D,D,R,R,R,R,R,TRUE
 Texas,TX,R,D,R,R,R,R,R,R,R,R,R,R,TRUE
 Utah,UT,R,R,R,R,R,R,R,R,R,R,R,R,TRUE
 Vermont,VT,R,R,R,R,R,D,D,D,D,D,D,D,TRUE
 Virginia,VA,R,R,R,R,R,R,R,R,R,D,D,D,TRUE
 Washington,WA,R,R,R,R,D,D,D,D,D,D,D,D,TRUE
 West Virginia,WV,R,D,D,R,D,D,D,R,R,R,R,R,TRUE
 Wisconsin,WI,R,D,R,R,D,D,D,D,D,D,D,R,FALSE
 Wyoming,WY,R,R,R,R,R,R,R,R,R,R,R,R,TRUE
